obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""452.6020""","=""0.0004""","=""452.60159""","=""0.00003""","=""13""","=""""",,"=""90839.488""","=""112927.781""","=""3d6.(3P1).4p""","=""4P*""","=""1/2""","=""3d5.(6S).4p2""","=""6P""","=""3/2""",,"=""""","=""L18349c139""",
"=""452.65949""","=""0.00006""","=""452.65938""","=""0.00004""","=""500""","=""""",,"=""44915.057""","=""67000.530""","=""3d6.(1F).4s""","=""c 2F""","=""7/2""","=""3d6.(3F2).4p""","=""y 2D*""","=""5/2""",,"=""""","=""L18349c139""",
"=""""","=""""","=""452.838460""","=""0.000013""","=""""","=""3.98e-02""",C+,"=""862.6118""","=""22939.3512""","=""3d6.(5D).4s""","=""a 6D""","=""3/2""","=""3d6.(3F2).4s""","=""b 4F""","=""5/2""",M1,"=""T6677""","=""""",
"=""452.97503""","=""0.00018""","=""452.97520""","=""0.00014""","=""33""","=""""",,"=""86543.902""","=""108613.977""","=""3d6.(3P1).4p""","=""v 4D*""","=""3/2""","=""3d6.(3G).4d""","=""4G""","=""5/2""",,"=""""","=""L18349c139""",
"=""""","=""""","=""453.300588""","=""0.000015""","=""""","=""1.45e-02""",C,"=""977.0498""","=""23031.2829""","=""3d6.(5D).4s""","=""a 6D""","=""1/2""","=""3d6.(3F2).4s""","=""b 4F""","=""3/2""",M1,"=""T6677""","=""""",
"=""453.4166""","=""0.0015""","=""453.416011""","=""0.000015""","=""60""","=""2.3e+04""",E,"=""23031.2829""","=""45079.9019""","=""3d6.(3F2).4s""","=""b 4F""","=""3/2""","=""3d6.(5D).4p""","=""z 4F*""","=""5/2""",,"=""T6892c83""","=""L7357""",
"=""453.5692""","=""0.0003""","=""453.56890""","=""0.00012""","=""16""","=""""",,"=""92116.529""","=""114157.716""","=""3d5.(4G).4s.4p.(3P*)""","=""x 4H*""","=""9/2""","=""3d6.(5D).6d""","=""4G""","=""11/2""",,"=""""","=""L18349c139""",
"=""453.6535""","=""0.0005""","=""453.65308""","=""0.00006""","=""14""","=""1.6e+05""",D,"=""86767.614""","=""108804.711""","=""3d6.(3P1).4p""","=""v 4D*""","=""5/2""","=""3d6.(3D).5s""","=""4D""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""454.1518""","=""0.0003""","=""454.151575""","=""0.000021""","=""90""","=""9.e+04""",E,"=""23031.2829""","=""45044.1916""","=""3d6.(3F2).4s""","=""b 4F""","=""3/2""","=""3d6.(5D).4p""","=""z 4D*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""454.1985""","=""0.0004""","=""454.198118""","=""0.000021""","=""9""","=""""",,"=""90386.533""","=""112397.186""","=""3d6.(5D).5p""","=""6F*""","=""9/2""","=""3d6.(5D).7s""","=""6D""","=""9/2""",,"=""""","=""L18349c139""",
"=""454.81187""","=""0.00016""","=""454.811123""","=""0.000021""","=""70""","=""""",,"=""85184.773""","=""107165.760""","=""3d6.(5D).4d""","=""e 4G""","=""9/2""","=""3d6.(5D).6p""","=""4F*""","=""7/2""",,"=""""","=""L18349c145""",
"=""454.9197""","=""0.0002""","=""454.91945""","=""0.00006""","=""150""","=""9.e+05""",D+,"=""47674.728""","=""69650.481""","=""3d7""","=""d 2D1""","=""3/2""","=""3d6.(3G).4p""","=""y 2F*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""454.9256""","=""0.0005""","=""454.92493""","=""0.00003""","=""90""","=""""",,"=""61332.753""","=""83308.241""","=""3d6.(3P2).4p""","=""y 4P*""","=""3/2""","=""3d6.(5D).4d""","=""e 6F""","=""5/2""",,"=""""","=""L18349c139""",
"=""454.94665""","=""0.00003""","=""454.946630""","=""0.000021""","=""1400bl(Fe I)""","=""1.00e+06""",C+,"=""22810.3459""","=""44784.7859""","=""3d6.(3F2).4s""","=""b 4F""","=""7/2""","=""3d6.(5D).4p""","=""z 4D*""","=""5/2""",,"=""T7589""","=""L18349c148""",
